DT,SN,BY,WC,HD,LP,AN,anio
2023-02-28,Reforma,Genaro Lozano,684 words,Genaro Lozano / Llenar el Zócalo,"La Plaza de la Constitución, el Zócalo de la Ciudad de México, es el escenario perfecto para la protesta. Dos de los tres Poderes de la Unión están ubicados ahí, el Palacio Nacional, donde hoy vive el presidente de la República, y la Suprema Corte de Justicia de la Nación. Además, está la Catedral Metropolitana, el edificio desde donde despacha la persona titular de la Jefatura de Gobierno y las oficinas de legisladoras y legisladores del Congreso de la CDMX. Todos esos símbolos del poder político, judicial y religioso conviven en el lugar que tal vez sea el corazón de México, la plaza pública por excelencia y llenarlo para un evento político es realmente un logro que pocos pueden. Este domingo, cientos de miles de personas lo abarrotaron con un mensaje poderoso para la Suprema Corte y, una vez más, el presidente López Obrador erró en su respuesta. Primero, la oposición a AMLO está creciendo. El poder desgasta y desgasta a cualquiera. Como candidato, López Obrador llamó a todos los sectores a votar por él, a quienes estaban en contra de la corrupción, a quienes rechazaban la guerra contra el narco y la violencia, a grupos de izquierda progresista, pero también a grupos conservadores evangélicos. El candidato del 2018 le hablaba lo mismo a los más pobres de estados como Chiapas que a las clases medias de la Colonia del Valle en la CDMX. Hoy el Presidente parece solo hablarle a su base más fiel, a quienes lo han acompañado desde hace más de 20 años. Hoy el Presidente divide, polariza y separa, destruye los puentes que le ayudaron a ser el Presidente más votado en la historia de nuestra democracia electoral. El Presidente está minimizando una realidad: ya hay una oposición ciudadana, de clase media, que ya no conecta con él, y en democracia cada voto cuenta.",Document RFMA000020230228ej2s0003u,2023
2023-09-15,Milenio,Karla Vázquez,567 words,"Libertad Palomo llama 'corriente' a Wendy Guevara: ""qué feo dar lástima por atención""","Libertad Palomo es la primera mujer trans en buscar los derechos de la comunidad en medio de la farándula y es que la famosa incluso llegó a la cárcel por alzar la voz; ahora se pronunció nuevamente en contra de Wendy Guevara.A 'La Perdida' se le conoce por un video que se volvió viral en redes sociales donde estaba en un cerro con su amiga Paola Suárez, así fue como el carisma de la leonesa la llevó a participar en el reality La Casa de los Famosos México, el cual ganó.La popularidad de Guevara fue tan grande que traspasó fronteras, sin embargo, no todos están de acuerdo con que se les haga 'fiesta' pues Libertad Palomo, quien es una de las pioneras en abrir camino a las mujeres trans en el mundo del espectáculo nacional, se pronunció.Sin embargo, las palabras de la actriz no fueron alentadoras ya que recordó todo lo que debió pasar para lograr estar donde se encuentra actualmente y es que ejemplificó que no era lo mismo el papel de Wendy con su participación como activista.Libertad Palomo fue encarcelada por un tema de identidad de género, lo cual Guevara ya no vivió por su joven edad, de manera que a la famosa no le pareció que el público 'engrandeciera' a la leonesa cuando no ha tenido un fuerte impacto en la defensa de los derechos de dicha comunidad.Palomo explota contra WendyPese a que la influencer respondió con mesura y se desentendió de las declaraciones de la famosa, lo cierto es que a quien interpretó aventurera alguna vez, no le parecieron las palabras de 'La Perdida' y se lanzó en su contra.""¿Qué es eso de La Casa de los Famosos? A mí háblame de actores y te puedo contar anécdotas preciosas de actores, a mí la gente corriente, vulgar, que no pertenece a mi medio no me interesa. Esas personas no pertenecen a mi gremio"".Al parecer no es de su agrado hablar sobre historias personales difíciles en público, pues lo tachó como una manera de causar lástima en el público para generar popularidad y así llamar la atención, lo que remató con un gesto de desgano.""Aquellas personas que van contando historias de miseria para llamar la atención lo único que les puedo decir es que a todos en la vida, tarde o temprano, nos tenemos que enfrentar a dificultades pero qué feo es ir dando lástima, contando cosas tan desagradables. La persona... que no sé quién es, solita se destruye"". @alandeleonproducertv #libertad #wendyguevara #lcdlfm #trans #glbt #glbt???? @Wendyguevara_oficial @Paola Patitas @Vanessa4k viral ? sonido original - Alan de León ?Wendy responde a PalomoPor su parte, Guevara se limitó a decir que siempre existirían personas en busca de colgarse de la fama de otros y no quiso hablar más sobre el tema que la puso en el ojo del huracán, luego ""Sí vi, ya no me gusta hablar de eso, dijo que no me conocía pero hasta sabe todo de mí, dijo la señora que me hacía la víctima diciendo mi historia de vida... yo le mando muchas bendiciones, siempre va a haber quién va a querer colgarse, le agradezco por lo importante es que hablen. Se me hace un estupidez que si no quieres a alguien hables"".KVS??",Document MILENI0020230915ej9f001sc,2023
2023-03-13,Reforma,Iris Velázquez,315 words,Urgen vacunas contra viruela símica,"Activistas urgieron al Gobierno mexicano a garantizar la vacuna contra la viruela símica o mpox, al afirmar que pese a ser uno de los países más afectados por la enfermedad su población no tiene acceso al biológico. De estos, dijo que Estados Unidos, Brasil, México, Colombia y Perú son los más afectados por el número de casos reportados.",Document RFMA000020230313ej3d0002q,2023
2023-03-30,Reforma,Martha Martínez y Claudia Salazar,470 words,Posponen discusión para limitar a TEPJF,"La Comisión de Puntos Constitucionales de la Cámara de Diputados pospuso la dictaminación de la reforma que limita las facultades del Tribunal Electoral del Poder Judicial de la Federación (TEPJF). Alrededor de las 12:45 de la tarde, la bancada de Morena informó que la reunión fue diferida hasta después de Semana Santa.",Document RFMA000020230330ej3u0003f,2023
2023-02-16,Milenio,Milenio Digital,447 words,Alejandro Villalvazo se lanza contra la licencia por menstruación y se vuelve viral,"Alejandro Villalvazo, periodista y conductor de TV Azteca, causó controversia y está siendo cancelado en redes sociales. Esto luego de que explotara en su programa en vivo -el cual se transmite después de Ventaneando- al enterarse de que el congreso de la Ciudad de México aprobó una propuesta de iniciativa que busca garantizar el permiso laboral por menstruación para mujeres o personas menstruantes, con la que se busca tener un periodo digno. ¿Qué dijo?Fue a través de redes sociales en donde comenzó a viralizarse este polémico debate. Y es que tras darse a conocer la noticia de dicha iniciativa, Alejandro Villalbazo de inmediato se molestó. Frente a sus compañeras de Hechos Meridiano, Christian Lara y Mónica Castañeda, el periodista expresó que celebra que las mujeres y personas menstruantes puedan ausentarse de sus labores, siempre y cuando comprueben que tienen ?cólicos muy fuertes?. Por ello, sus compañeras explicaron que no hay un estudio que compruebe o no si hay cólicos fuertes y que no todas las mujeres tienen acceso al ginecólogo para que pueda corroborar sus padecimientos que se presentan al menstruar. Christian Lara recalcó que ni en el IMSS se podrá realizar este estudio, pues no hay tal ni medicamentos. Por otro lado, Mónica Castañeda subrayó que las citas para cualquier revisión tardan en darse, por lo que sería casi imposible que en pleno cólico se atienda. Ante dichos argumentos, Villalbazo sentenció que finalmente quien debe determinarlo son las estancias médicas: ?Entonces no tienes tus 3 días, el tema es para quien padece de dolores?, aseguró. Alejandro Villalvazo opinando de los derechos laborales de las mujeres y hombres trans en la menstruación.¿Por qué opinará? ¿En qué le afecta que se den días de descanso por cólicos fuertes? Como que no sabían que estaban en vivo en tiktok o sabe. Mi apoyo con ellas. pic.twitter.com/sHkbQlbDn1? josé andrés (@joseandreeees) February 15, 2023 Como era de esperarse, el polémico debate se viralizó de inmediato. Lo llenaron de críticas y lo posicionaron en tendencia: ?No tienes útero, cállate?; ?el experto en cólicos?; ?Si nunca has sentido un cólico, cállate?; ?Mujeres ahora en lugar de ir a un ginecólogo consulten al papanatas estúpido de Alejandro Villalvazo?; ?Hay un hijo de la chingada que opina sobre menstruacion y dolores y no sabe ni una mierda, a él también deberías exponerlo, se llama Alejandro Villalvazo?, se lee entre las reacciones. TE RECOMENDAMOS...España aprueba cambio de género desde los 16 años y permiso laboral por menstruación Permiso laboral por menstruación un paso más cerca de ser una realidad para las mujeres grb",Document MILENI0020230216ej2g001h3,2023
2023-11-14,La Jornada,NA,651 words,Julio Hernández López: Astillero,"? ¡CRIMEN PASIONAL, MENTIRA NACIONAL!. Un numeroso grupo de capitalinos marchó ayer de la Estela de Luz al Zócalo en protesta por la muerte de Jesús Ociel Baena en Aguascalientes.Foto Pablo Ramos Marcelo Ebrard recibió promesas de justicia partidista y una pequeña aproximación a lo que con enjundia de apariencia irrevocable había planteado, pero ello le fue suficiente para deponer las banderas derogatorias de la asunción de Claudia Sheinbaum, negociar con ella y pretender cuotas de poder, sobre todo en el Legislativo, para tratar de consolidar un partido marcelista al interior de Morena, con bancadas y cargos susceptibles de abandonar el guinda cuando deseen y alzar el vuelo hacia el muy cantado proyecto denominado El camino de México. El ex canciller exigía que se repusiera el proceso morenista interno (es decir, que se desconociera el resultado oficialmente favorable a Sheinbaum), que le ofrecieran una disculpa pública y se reconociera la gravedad de las irregularidades (tan graves serían, según Marcelo, que implicarían la obligación de desechar todo el proceso y su desenlace).",Document JORNDA0020231114ejbe0002i,2023
2023-03-21,El Universal,Rebeca Jiménez,346 words,"“No son sólo insultos, es hasta homicidio”","Toluca, Méx.— “No son sólo insultos”, también son patadas, pellizcos, golpes directos en el rostro, ahorcamientos y hasta ataques sexuales y homicidio, esas son las agresiones que sufren las mujeres diversas, lesbianas, bisexuales y trans (LBT), reconocieron activistas que participan en la Red de Apoyo Trans Toluca. Con tenis y ropa deportiva, las mujeres trans utilizaron sus brazos, su cuerpo y sus piernas para repeler agresiones y ataques de los que usualmente afirmaron son víctimas.",Document UNVSAL0020230321ej3l000p5,2023
2023-06-25,El Universal,María Cabadas,328 words,Asegura el PRI en San Lázaro que la bandera LGBTTT+ también es del partido tricolor,"La fracción del PRI en la Cámara de Diputados, reiteró su compromiso con la inclusión y el respeto a los derechos humanos de todos los sectores y grupos de la sociedad, incluyendo a las minorías. Expresó que las y los integrantes de la bancada tricolor abrazan la diversidad y promueven el respeto hacia todas las formas de amor. 'Consideramos que el amor no puede ser cuestionado por el género, color o nacionalidad, pero si tiene que ver con la lucha por la libertad para expresarnos y sentir"", manifestó.",Document UNVSAL0020230625ej6p000dx,2023
2023-06-07,El Universal,Armando Pereda Maldonado,829 words,"¿Quién es Wendy Guevara?, la ""perdida"" y favorita de ""La casa de los famosos México""","Wendy Guevara es una influencer con más de 1.6 millones de seguidores en Instagram cuya fama nació en las redes sociales cuando publicó un video en el 2017 junto a Paola Suárez que se viralizó en internet, en donde supuestamente estaban perdidas en un cerro. A partir de este video fue como se catapultaron a la fama ya que desfilaron en su momento en la ceremonia de los premios MTV Millennial Awards (Miaw) en donde se llevaron dos premios en la edición del año 2017.",Document UNVSAL0020230607ej67001mf,2023
2023-08-16,El Universal,Unavailable,549 words,La violencia de género con peras y manzanas,"Las metrópolis son casi por definición, espacios inmensos pero proporcionalmente seguros. Han servido de oasis frente muchas consecuencias sociales y asilo de muchos, aunque al mismo tiempo no han sido exentas de problemas incontenibles. La Ciudad de México por ejemplo, es ejemplo de un bastión que a pesar de ser de las ciudades más grandes del mundo, sostiene una dinámica con sus ciudadanos que son los que han hecho de que la impunidad y la indiferencia no nos rebasen día con día. Este mismo año, hace apenas unas semanas, una mexicana se encontraba en otra metrópoli de Europa. María Fernanda, una joven que estudiaba su posgrado en Alemania fue reportada como desaparecida y luego hallada muerta en un canal. Las autoridades informan con una lentitud que hasta hace poco parecía característica de un gobierno como el nuestro, pero lo que vemos es que la violencia contra las mujeres sigue queriendo ser tapado y minimizado. El cuerpo hallado en el canal, igual que las muertas del Río de los Remedios, es considerada simplemente muerta y no hay, según indican las autoridades, razones para pensar que alguien la mató. Así de banal es la percepción de las autoridades de un caso que simplemente ejemplifica lo escalado que está la violencia contra las mujeres.",Document UNVSAL0020230816ej8g000e6,2023
2024-11-14,Milenio,Liberto Ureña,355 words,Proponen Día de la No Discriminación a Personas No Binarias a un año de la muerte de Ociel Baena,"Este 13 de noviembre se cumple un año de la muerte de Jesús Ociel Baena, magistrade del Tribunal Electoral de Aguascalientes, quien perdió la vida en su domicilio, ubicado en un fraccionamiento al poniente de la ciudad.A raíz de este suceso y a petición de la familia, el diputade de Morena, Rodrigo Mireles, presentó una iniciativa para declarar esta fecha como el Día de la No Discriminación a Personas No Binarias, en memoria de Baena. “Esta iniciativa fue impulsada principalmente por la familia y ya se ha presentado en Coahuila y la Ciudad de México. La intención es que lo ocurrido con le magistrade no pase desapercibido; fue lamentable, y todos sabemos el impacto de su trabajo, que llegó incluso a niveles internacionales”, agregó.La propuesta busca dar visibilidad y voz a la comunidad no binaria y continuar con el legado de Ociel Baena.Mireles subrayó la importancia de evitar que se repitan casos como el de Baena, destacando la necesidad de reconocer los derechos de esta comunidad y de enfrentar la discriminación en su contra.El legislador enfatizó la urgencia de generar conciencia y adoptar políticas públicas inclusivas.“En el país hay aproximadamente 340 mil personas no binarias; de estas, el 50% ha reportado sufrir algún tipo de violencia, ya sea en su lugar de trabajo, en su entorno familiar o en espacios públicos”, citó Mireles.El diputade también lamentó la filtración de fotografías y rumores sobre el caso de Ociel Baena antes de que la Fiscalía emitiera una declaración, situación que calificó como inaceptable.“Es triste que, incluso antes de conocer una versión oficial, ya se estuvieran difundiendo imágenes y especulaciones que no debieron salir a la luz”, comentó.Rodrigo Mireles añadió que ya se han iniciado conversaciones con diversos congresos estatales para presentar la misma iniciativa en sus respectivas legislaturas.El objetivo es que otros estados se sumen a la iniciativa para instaurar el 13 de noviembre como el Día de la No Discriminación a Personas No Binarias.MO",Document MILENI0020241114ekbe0002z,2024
2024-06-29,El Universal,Kevin Ruiz,258 words,VIDEO Marcha del Orgullo LGBT 2024: Clara Brugada reafirma su compromiso como aliada de la diversidad sexual,"La jefa de Gobierno electa electa, Clara Brugada, acudió al Paseo de la Reforma para reafirmar su compromiso como aliada de la diversidad sexual, esto, en el marco de la 46ª Marcha del Orgullo de la Ciudad de México. ""Una ciudad en donde la comunidad de la diversidad sexual viva sin miedo, una ciudad en la que nadie tenga que esconderse para ser quien sea”, dijo.",Document UNVSAL0020240629ek6t001jn,2024
2024-05-17,El Universal,Unavailable,616 words,Resistencia y dignidad: la lucha LGBTQ+ en las raíces de nuestras comunidades,"Ke aku (hola), soy Jobis Shosho, Activista Wixarika por los derechos LGBTTTIQ+, embajadorx de The Trevor Project México y coordinadorx nacional de pueblos originarios de la diversidad sexual en Red Gay Latino capítulo México. Pero ¿cómo podemos llegar a esas personas y hablar en torno a los derechos que se están aprobando desde las grandes ciudades? Se me ocurre que se puede replicar la labor de The Trevor Project México como organización a través de la creación de luchas más incluyentes en espacios seguros, el acercamiento con personas que hablan lenguas originarias para que la información aterrice de forma adecuada, trabajar con juventudes desde la interseccionalidad y que cada unx se pueda sentir representadx, y todo ello replicarlo con nuestros pares, entre hermanxs y desde los espacios que habitamos.",Document UNVSAL0020240517ek5h000mf,2024
2024-11-05,El Universal,Unavailable,398 words,"Buscan que 13 de septiembre sea ""Día contra la violencia a personas no binarias""; pretenden honrar memoria de magistrade Ociel Baena","Como una forma de honrar la memoria y la lucha que encabezó le magistrade Jesús Ociel Baena Saucedo para el reconocimiento de los derechos de las personas no binarias, la diputada local de Morena, Valeria Cruz, presentó una iniciativa ante el Congreso de la Ciudad de México para que el 13 de noviembre de cada año sea considerado el ‘Día en contra de la violencia a personas no binarias’. Explicó que Baena Saucedo obtuvo triunfos representativos como obtener su acta de nacimiento no binaria.",Document UNVSAL0020241106ekb50000g,2024
2024-12-31,Reforma,NA,405 words,"Adiós, 2024",EL AÑO QUE TERMINA REGISTRÓ JORNADAS VIOLENTAS EN EL VALLE DE MÉXICO QUE INCLUYERON EL ASESINATO DE UN MANDO DE INTELIGENCIA DE LA SSC Y EL ATAQUE A UNA DIPUTADA SUPLENTE JUEVES 17,Document RFMA000020241231ekcv00033,2024
2024-01-09,El Universal,Eduardo Dina,618 words,Mirada del Editor: Disculpas de AMLO a “diputrans” Salma Luévano sacuden la agenda LGBT+ de Morena,"Como lo han hecho los políticos panistas Lilly Téllez, Teresa Castell, Gabriel Quadri y América Rangel, el presidente Andrés Manuel López Obrador, en un acto de desconocimiento, emitió comentarios transfóbicos contra Salma Luévano, diputada federal de Morena. Si bien López Obrador ya ofreció disculpas a la legisladora este 9 de enero, diciendo que “la gente debe de asumirse, cualquier persona, como se identifique” y “el amor no tiene sexo y está por encima de todo”, la declaración del Presidente se sumó al discurso de odio de la ultraderecha contra las poblaciones LGBT+.",Document UNVSAL0020240109ek1900167,2024
2024-01-12,Milenio,Armando Martínez,460 words,"MC pide justicia para Miriam Ríos, comisionada asesinada en Michoacán","La dirigencia nacional de Movimiento Ciudadano (MC) exigió a las autoridades que sea esclarecido el asesinato de Miriam Ríos Ríos, comisionada municipal, quien fue atacada en Zamora, Michoacán.El crimen fue perpetrado este 11 de enero por un grupo de presuntos sicarios en un local comercial. Mirian Ríos Ríos, quien también era líder del colectivo LGBTQ+ en Jacona, fue agredida a disparos y a pesar de que recibió apoyo de los servicios de emergencia, ya no contaba con signos vitales.En un comunicado, Movimiento Ciudadano solicitóa la Fiscalía de Michoacán agotar todas las líneas de investigación “evitando cualquier tipo de prejuicio y estigma que obstaculice la justicia como en otros casos de violencia letal hacia las comunidades LGBTI+ o disidentes que aún están impunes en el país”.“La dirigencia nacional y la dirigencia estatal, exigen a las autoridades que sea esclarecido, a la brevedad, el artero asesinato de Miriam Ríos Ríos, comisionada en Jacona de este instituto político, así como que se actúe con todo el peso de la ley en contra de los responsables”, indicó el partido.En @MovCiudadanoMX exigimos justicia por el cobarde atentado que le arrebató la vida a Miriam Ríos, Comisionada municipal en Michoacán y activista de la comunidad LGBTTTIQ+.No permitiremos que este acto quede impune. pic.twitter.com/AL4ckWFfhJ— Movimiento Ciudadano | Movimiento Naranja (@MovCiudadanoMX) January 12, 2024 “La Fiscalía del Estado en Michoacán tiene la obligación de realizar la investigación de los hechos de forma objetiva, apegada a los estándares nacionales e internacionales en materia de derechos humanos y con perspectiva de género y en consecuencia, aplicar los protocolos correspondientes a las instancias de procuración de justicia en los casos que involucren la orientación sexual o la identidad de género estatal y federal”, detalló.MC que la dirigencia estatal a cargo de Antonio Carreño, manifestó sus sentidas condolencias y exigió a la Fiscalía General del Estado, así como a las autoridades de los gobiernos estatal y municipal de Jacona, que actúen y cumplan con su obligación para el esclarecimiento del asesinato de Miriam Ríos.Por su parte, el precandidato presidencial de MC, Jorge Álvarez Máynez, se sumó a la condena del asesinato y pidió que el crimen no quede impune.“Condeno el asesinato de mi compañera Miriam Ríos Ríos en Jacona, Michoacán. Ser mujer trans debe dejar de ser una sentencia de muerte”, indicó.Condeno el asesinato de mi compañera Miriam Ríos Ríos en Jacona, Michoacán. Ser mujer trans debe dejar de ser una sentencia de muerte. Exigimos a las autoridades una investigación a fondo, esta injusticia no puede quedar impune. Mis más sinceras condolencias a sus…— Jorge Álvarez Máynez (@AlvarezMaynez) January 12, 2024 ?IOG",Document MILENI0020240112ek1c0005p,2024
2024-10-17,El Universal,Unavailable,263 words,Esto es lo que sabemos del ataque a Diana Sánchez Barrio; lideresa de ambulantes y activista trans,"La tarde de este jueves la lideresa de ambulantes, Diana Sánchez Barrios fue atacada al lado de tres personas más, por dos sujetos quienes les dispararon en diferentes ocasiones cuando se encontraban sobre la calle de Motolinia y 5 de Mayo, en la colonia Centro. Diana decidió caminar por la calles del Centro, para ingresar por Motolinia con dirección hacia la calle de Madero, en donde se ubican sus oficinas.",Document UNVSAL0020241018ekah00008,2024
2024-10-15,Milenio,Blanca Valadez,584 words,Una de cada 3 mujeres sufrieron agresiones por parte de sus parejas a causa del alcohol,"Una de cada tres mujeres sufrieron agresiones por parte de sus parejas alcoholizadas, por lo que la Red de Acción Sobre Alcohol (RASA) hizo un exhorto a lapresidenta Claudia Sheinbaum para promover una política nacional en la que se modifique el esquema actual de impuestos especiales, se fortalezca las restricciones de publicidad y se apliquen medidas estrictas para disminuir la alta disponibilidad de dicho producto que genera enfermedad, violencia y muerte.“El consumo de alcohol tiene una estrecha relación con la violencia en los diferentes ámbitos de la vida social, por ejemplo, el 35 por ciento de casos de maltrato infantil se observó que los padres se encontraban bajo los efectos del alcohol en el momento del incidente”.La Encuesta Reset Alcohol México 2024, realizada por 'Vital Strategies', estableció que el 97 por ciento de la población mexicana está preocupada por la violencia contra la mujer atribuible al consumo de alcohol.“La relación entre el consumo de alcohol por parte de las parejas masculinas y la violencia de género en México es un problema complejo y profundamente arraigado que requiere atención inmediata y sostenida. A mayor disponibilidad de alcohol: publicidad, puntos de venta, horarios, promociones y bajo costo, mayor consumo de alcohol”, explicó Juan Arturo Sabines, vocero de la Red de Acción Sobre Alcohol (RASA).En México, diversos estudios han demostrado que existe una correlación significativa entre el consumo excesivo de alcohol por parte de hombres y el aumento de la violencia física, emocional y sexual contra sus parejas.Martha Romero, investigadora del Instituto Nacional de Psiquiatría, enfatizó que existe suficiente evidencia científica en torno a la asociación entre el consumo de alcohol y la violencia de género. “Sabemos que la violencia de género es causa de muerte en las mujeres, además es el origen de años de vida saludables perdidos por la discapacidad y disminuye los años de vida útiles en las mujeres. La carga de enfermedad en las mujeres asociada a la violencia es un tema preponderante"".“Si bien la violencia hacia las mujeres se expresa desde la infancia en abusos sexuales, físicos y emocionales, se sabe también que no todos los grupos de mujeres están igualmente expuestos siendo las más vulnerables las mujeres que viven en unión libre y las divorciadas, las niñas y jóvenes, las mujeres trans. Los hallazgos de investigación señalan que el alcohol actúa como un factor en la que perpetúa la violencia basada en el género”, añadió. Durante la conferencia, también se compartieron testimonios conmovedores de mujeres sobrevivientes a la violencia de género. Ana, miembro de 'Al-Anon', relató cómo su pareja, ahora fallecida, se tornaba violenta bajo los efectos del alcohol, dejándola con profundas cicatrices emocionales.Rosy también de 'Al Anon' compartió su experiencia actual con una pareja que aún consume alcohol, destacando la dificultad de lidiar con la violencia repetida pese a los afectos y los vínculos sentimentales.Yahaira Ochoa coordinadora de comunicación y especialista en género de Salud Justa Mx, comentó que urge una política nacional con perspectiva de género integral, para el control de bebidas alcohólicas que contemplen las medidas ya recomendadas por organismos internacionales.RASA reiteró su llamado a la nueva administración para tener una política nacional para el control del alcohol que contemple las recomendaciones de organismos internacionales como la OMS, OPS y la iniciativa RESET que contribuya a reducir la carga de enfermedad y muerte asociada al consumo de alcohol.GGAC",Document MILENI0020241015ekaf001s4,2024
2024-06-27,El Universal,Laura Arana,382 words,"""Zona Rosa, emblema de la comunidad""","Las seis franjas multicolor de la bandera de la comunidad plasmadas en adornos ya engalanan negocios, restaurantes, bares y las calles de la Zona Rosa que se alistan para recibir este 29 de junio a los asistentes a la Marcha del Orgullo LGBT+. “Es la mejor época para la Zona Rosa. Sin duda es el barrio por excelencia y emblema de la comunidad. Así que todos los que trabajamos aquí estamos listos para ofertar un buen servicio”, afirmó el encargado del restaurante Boomers.",Document UNVSAL0020240627ek6r000p2,2024
2024-11-10,Reforma,Denise Dresser y Carlos A. Pérez Ricart,2879 words,Ahí viene Trump,"Tras la elección presidencial estadounidense, analistas desmenuzan las causas y consecuencias del triunfo arrollador del candidato republicano. Advierten riesgos y desafíos para la democracia, así como un panorama complicado para México en los próximos cuatro años. Regresa a la Casa Blanca con más fuerza y menos constricciones, con más Apoyos y menos resistencias. Empoderado y legitimado, Trump se encamina a llevar a cabo una agenda radical con implicaciones graves para el mundo",Document RFMA000020241110ekba0002v,2024
2024-06-04,Reforma,Viridiana Martínez,453 words,Avanza sólo una de 12 denuncias,"Aunque José Roberto ""N"", presunto agresor serial de personas de la comunidad LGBT+, está denunciado en 12 carpetas de investigación, podría ser juzgado sólo por dos. ""Siento mucho el peso de este caso en mí y no por un protagonismo, pero siento que si no es por mi carpeta o lo que se dictamine conmigo esta persona puede salir libre"", expresó.",Document RFMA000020240604ek6400046,2024
2024-07-30,Reforma,NA,20 words,En APP CDMX...,En APP CDMX hay un apartado con información sobre los servicios que da la Clínica Condesa. NA,Document RFMA000020240730ek7u0001k,2024
2024-05-02,Milenio,Isabel Zamudio,327 words,Trabajador transgénero denuncia acoso laboral y discriminación en la SSP de Veracruz,"Un hombre transgénero que labora en la Secretaría de Seguridad Pública Estatal de Veracruz se manifestó este jueves frente a las oficinas de la Contraloría General del Estado enXalapaparadenunciar los actos de discriminación, acoso laboral y de género que ha sufrido dentro de la dependencia.El hombre espera que la Dirección General de Responsabilidades Administrativas resuelva su caso, tome en cuenta las 21 pruebas aportadas y lo absuelva.Erick Leonardo Flores Arena, acompañado de activistas de la comunidad de la diversidad sexual, explicó que desde junio de 2023 está adscrito a la SSP, tras solicitar su cambio de la Dirección General de Tránsito y Seguridad Vial del Estado, donde enfrentaba hostigamiento sexual y discriminación, sin embargo el hostigamiento continuó en la secretaría.Interpuso denuncias por falsos testimonios, discriminación y hostigamiento sexual ante la Fiscalía General del Estado, en donde las investigaciones siguen su curso, además, por parte de la Comisión Estatal de Derechos Humanos, ya hay un acuerdo de septiembre 2023, donde se califican tres actos de violaciones a sus derechos humanos.Hoy su trabajo está en riesgo y depende de la determinación que tome la Dirección General de Responsabilidades Administrativas de ésta institución; pide que los absuelvan de las falsas acusaciones que le imputaron.Erik señala que lo han acusado con falsedad de violencia de género, de acoso sexual, del robo de un alcoholímetro, de abandonar el trabajo, de firmar listas de asistencia en días que no se presentó a laborar, entre otros.""El hostigamiento es una cuestión sistemática de violencia que no se detienen; lo que ellos buscan es que me separe de la institución, es una persecución laboral que vengo padeciendo desde 2019 a la fecha” mencionó.Quiere que termine ese acoso y hostigamiento sexual en su contra y que se capacite realmente al personal, pues afirma que al interior de la dependencia hay mucho discurso de odio.AAEG",Document MILENI0020240502ek52001e7,2024
